main_category,delivered_orders,revenue,avg_score,delay_rate_pct
beleza_saude,8614,1413174.54,4.23,8.99
relogios_presentes,5477,1265424.47,4.12,8.55
cama_mesa_banho,9207,1233455.51,4.02,8.79
esporte_lazer,7494,1118117.55,4.24,7.78
informatica_acessorios,6513,1034717.05,4.09,7.72
moveis_decoracao,6190,877319.12,4.08,8.59
utilidades_domesticas,5687,759096.38,4.21,7.02
cool_stuff,3528,691691.59,4.23,6.86
automotivo,3793,669784.65,4.16,8.65
ferramentas_jardim,3407,565376.44,4.2,8.04
brinquedos,3791,548986.16,4.24,7.55
bebes,2757,466867.84,4.12,9.29
perfumaria,3071,442570.07,4.27,7.42
telefonia,4073,378845.17,4.06,8.54
moveis_escritorio,1251,336140.69,3.65,9.19
papelaria,2243,269338.1,4.31,7.85
pet_shop,1683,251245.51,4.28,6.3
pcs,177,228487.9,4.22,7.34
instrumentos_musicais,609,202590.5,4.24,8.87
eletronicos,2503,201237.73,4.13,9.87
eletroportateis,607,197945.37,4.26,6.26
fashion_bolsas_e_acessorios,1814,180161.57,4.24,6.67
malas_acessorios,1013,168900.23,4.37,5.43
consoles_games,1013,167200.81,4.18,8.19
construcao_ferramentas_construcao,727,162925.71,4.15,9.22
eletrodomesticos_2,227,118251.52,4.14,7.05
casa_construcao,471,95567.53,4.03,8.28
eletrodomesticos,747,93313.46,4.23,6.69
moveis_sala,408,85826.02,4.08,8.58
agro_industria_e_comercio,177,76208.42,4.11,5.08
casa_conforto,354,63277.7,3.94,10.73
telefonia_fixa,212,59924.99,3.97,5.19
climatizacao,245,59894.35,4.11,4.08
moveis_cozinha_area_de_servico_jantar_e_jardim,237,56960.66,4.16,4.64
audio,344,55628.41,3.85,13.08
livros_interesse_geral,493,54256.55,4.54,6.91
portateis_casa_forno_e_cafe,72,49268.75,4.43,6.94
construcao_ferramentas_iluminacao,229,46133.63,4.22,9.17
industria_comercio_e_negocios,229,45695.97,4.24,8.33
construcao_ferramentas_seguranca,154,42150.86,4.02,4.55
alimentos,435,35399.25,4.34,10.11
market_place,268,32695.28,4.13,4.85
construcao_ferramentas_jardim,187,31049.16,4.28,6.95
fashion_calcados,233,27715.88,4.3,6.44
sinalizacao_e_seguranca,137,27695.36,4.13,5.84
artes,192,27422.92,4.13,7.81
bebidas,281,26891.48,4.25,6.76
moveis_quarto,90,23564.49,4.25,7.78
livros_tecnicos,254,22896.61,4.42,11.02
alimentos_bebidas,218,19266.96,4.45,6.42
construcao_ferramentas_ferramentas,97,17934.17,4.43,6.19
fashion_roupa_masculina,106,12514.94,3.82,4.72
artigos_de_natal,125,11950.02,4.11,9.6
fashion_underwear_e_moda_praia,117,11160.02,3.99,12.82
tablets_impressao_imagem,78,8809.35,4.14,6.41
cine_foto,62,7970.59,4.39,8.06
musica,36,6620.02,4.39,8.33
moveis_colchao_e_estofado,37,5904.75,3.91,13.51
dvds_blu_ray,55,5777.96,4.18,7.27
artigos_de_festas,37,5192.19,4.08,2.7
livros_importados,50,5182.65,4.44,4.0
portateis_cozinha_e_preparadores_de_alimentos,13,4228.05,3.62,7.69
fashion_roupa_feminina,35,3130.7,3.97,5.71
fashion_esporte,25,2675.02,4.44,8.0
la_cuisine,13,2579.41,4.25,0.0
artes_e_artesanato,22,2204.07,4.32,9.09
fraldas_higiene,25,2046.19,3.96,4.0
flores,28,1567.24,4.52,3.57
pc_gamer,7,1467.63,3.43,0.0
casa_conforto_2,22,1131.41,3.9,18.18
cds_dvds_musicais,12,954.99,4.67,0.0
fashion_roupa_infanto_juvenil,6,608.54,5.0,0.0
seguros_e_servicos,2,324.51,2.5,0.0
