grain,dim_value,orders,delay_rate_pct,avg_score
delay_bucket,delay_1_3,3108,100.0,3.6
delay_bucket,delay_15_plus,1327,100.0,1.72
delay_bucket,delay_4_7,1740,100.0,2.11
delay_bucket,delay_8_14,1438,100.0,1.67
delay_bucket,on_time,87751,0.0,4.3
state,AC,79,3.8,4.11
state,AL,392,23.21,3.86
state,AM,143,4.2,4.24
state,AP,66,4.55,4.24
state,BA,3216,13.71,3.93
state,CE,1270,15.28,3.95
state,DF,2055,6.96,4.14
state,ES,1964,11.91,4.08
state,GO,1937,7.9,4.11
state,MA,707,19.24,3.83
state,MG,11235,5.48,4.2
state,MS,697,11.62,4.16
state,MT,875,6.63,4.15
state,PA,926,11.88,3.91
state,PB,510,10.78,4.07
state,PE,1575,10.67,4.08
state,PI,469,15.78,3.99
state,PR,4877,4.9,4.24
state,RJ,12146,13.3,3.97
state,RN,469,10.66,4.14
state,RO,239,2.93,4.17
state,RR,41,12.2,3.9
state,RS,5300,7.08,4.19
state,SC,3506,9.61,4.14
state,SE,331,15.11,3.9
state,SP,40068,5.83,4.25
state,TO,271,12.92,4.16
