check_id,check_name,total_rows,anomaly_or_null_count,anomaly_pct,issue_detail,severity,handling_strategy,affects_core_analysis
A1,orders.order_id 唯一性,99441,0,0.00%,无重复,✓通过,无需处理,否
A2,products.product_id 唯一性,32951,0,0.00%,无重复,✓通过,无需处理,否
A3,sellers.seller_id 唯一性,3095,0,0.00%,无重复,✓通过,无需处理,否
A4,customers.customer_id 唯一性,99441,0,0.00%,无重复,✓通过,无需处理,否
A5,customer_unique_id 多对一关系,99441,3345,,2997个真实客户有复购记录(占客户总数3.12%)，产生3345个多余customer_id,✓正常,复购分析核心依据,否
A6,reviews.review_id 唯一性,98410,0,0.00%,无重复（CSV实际记录99224条，789个review_id各挂两个不同订单，INSERT IGNORE保留首条；物理行数104719被文本内嵌换行抬高）,✓通过,保留当前结果，跳过的重复记录不进入分析,否
B1,orders 时间字段空值分布,99441,,,批准时间空值160(0.16%)；承运商时间空值1783(1.79%)；签收时间空值2965中仅8条属delivered订单(真异常)，其余2957条为未交付订单(正常),低,8条delivered无签收日期的订单在延迟分析中自然被排除,否
B2,products.category_name 空值,32951,610,1.85%,610个商品无类别,低,保留，含葡语原名可在分析时补翻译,否
B3,reviews.review_score 空值,98410,0,0.00%,无空值,✓通过,无需处理,否
B4,order_items.price/freight 空值,112650,0,0.00%,无空值,✓通过,无需处理,否
B5,payments.payment_value 空值,103886,0,0.00%,无空值,✓通过,无需处理,否
C1,order_status 枚举值,99441,,,,delivered:96478(97.02%) shipped:1107(1.11%) canceled:625(0.63%) unavailable:609(0.61%) invoiced:314(0.32%) processing:301(0.30%) created:5(0.01%) approved:2(0.00%),✓通过,核心分析使用delivered订单，其他状态记录履约分析时按需处理,是
C2,payment_type 枚举值,103886,,,,credit_card:76795(73.92%) boleto:19784(19.04%) voucher:5775(5.56%) debit_card:1529(1.47%) not_defined:3(0.00%),✓通过,分析时排除not_defined(3条),否
C3,review_score 分布,98410,,,,5分:56910(57.83%) 4分:19007(19.31%) 3分:8097(8.23%) 2分:3114(3.16%) 1分:11282(11.46%),✓通过,1-2分定义为低评分，用于履约体验分析,是
D1,购买时间 > 审批时间,96476,0,0.00%,无时间倒挂,✓通过,无需处理,是
D2,审批时间 > 交付承运商时间,96462,1350,1.40%,delivered订单中审批时间晚于交付承运商时间；但delivery_days/delay_days不使用审批/承运商时间，且这1350条签收与预计时间全部完整,低,无需排除，仅文档记录（若后续扩展处理时效分析需再处理）,否
D3,交付承运商时间 > 实际签收时间,96469,23,0.02%,极少量异常；同样不影响delivery_days/delay_days,低,无需排除，仅文档记录,否
D4,实际签收时间 < 购买时间,96470,0,0.00%,无倒挂,✓通过,无需处理,是
D5,预计签收时间 < 购买时间,99441,0,0.00%,无倒挂,✓通过,无需处理,否
E1,price <= 0,112650,0,0.00%,无异常,✓通过,无需处理,是
E2,freight_value < 0,112650,0,0.00%,无异常,✓通过,无需处理,是
E3,payment_value <= 0,103886,9,0.01%,9条支付金额<=0,低,排除9条后统计,否
E4,payment_installments < 0,103886,0,0.00%,无异常,✓通过,无需处理,否
E5,product_weight_g <= 0,32949,4,0.01%,4件商品重量<=0,低,排除4件后统计,否
F1,orders→customers 孤立,99441,0,0.00%,全部订单有对应客户,✓通过,无需处理,是
F2,order_items→orders 孤立,112650,0,0.00%,全部商品明细有对应订单,✓通过,无需处理,是
F3,payments→orders 孤立,103886,0,0.00%,全部支付有对应订单,✓通过,无需处理,是
F4,reviews→orders 孤立,98410,0,0.00%,全部评价有对应订单,✓通过,无需处理,是
F5,order_items.product_id→products 孤立,112650,0,0.00%,全部商品明细有对应商品维度,✓通过,无需处理,否
F6,products.category 无翻译,32951,13,0.04%,13个类别无英文翻译,低,保留葡语原名，分析时可用英文别名,否
G1,每订单对应order_items行数,98662,,,,1行:88863(90.06%) 2行:7516(7.62%) 3行:1322(1.34%) 多行:961(0.98%),✓通过,构建mart_order_summary前必须先按order_id聚合order_items,否（技术口径问题）
G2,每订单对应payments行数,99441,,,,1条:96479(97.02%) 2条:2382(2.40%) 多条:580(0.58%),✓通过,构建mart_order_summary前必须先按order_id聚合payments,否（技术口径问题）
G3,每订单对应reviews行数,98167,,,,1条:97924(99.75%) 2条:243(0.25%),✓通过,构建mart_order_summary时取最高评分,否（技术口径问题）
G4,存在重复评价的订单数,98662,243,,243个订单有2条评价记录,低,保留首条评价或取最高分（指标文档明确规则）,否（技术口径问题）
