metric,value,source
sample_orders,95364.0,python
on_time_orders,87751.0,python
delayed_orders,7613.0,python
delay_rate_pct,7.98,python
on_time_avg_score,4.3,python
delayed_avg_score,2.57,python
score_diff,1.73,python
score_drop_pct,40.24,python
chi_square_chi2,12670.16,scipy.stats.chi2_contingency
chi_square_p_value,0.0,scipy.stats.chi2_contingency
chi_square_dof,1,scipy.stats.chi2_contingency
chi_square_cramers_v,0.3645,scipy.stats.chi2_contingency
mann_whitney_u_statistic,519026762.5,scipy.stats.mannwhitneyu
mann_whitney_p_value,0.0,scipy.stats.mannwhitneyu
logit_controlled_n_obs,95364,statsmodels.Logit（控制州/类别/金额）
logit_controlled_delay_odds_ratio,11.349,statsmodels.Logit（控制州/类别/金额）
logit_controlled_delay_or_ci_low,10.776,statsmodels.Logit（控制州/类别/金额）
logit_controlled_delay_or_ci_high,11.954,statsmodels.Logit（控制州/类别/金额）
logit_controlled_delay_p_value,0.0,statsmodels.Logit（控制州/类别/金额）
logit_controlled_pseudo_r_squared,0.1294,statsmodels.Logit（控制州/类别/金额）
conclusion,配送延迟与较低评分显著相关（观察性数据，不构成因果证据）,-
