model,driver,driver_label,odds_ratio,ci_95_low,ci_95_high,p_value,direction,n_obs,aic,interpretation_scope
purchase_time,log2_payment_amount,首单支付金额翻倍,1.0,0.9133,1.095,0.9998188873599124,未发现显著关联,75563,10448.88,首购时可见特征的调整后关联
purchase_time,freight_share_10pp,运费占比增加 10 个百分点,1.0387,0.9574,1.1269,0.36145954967034843,未发现显著关联,75563,10448.88,首购时可见特征的调整后关联
purchase_time,multi_item,首单包含多个商品,1.3854,1.118,1.7166,0.0028835403707219574,正向关联,75563,10448.88,首购时可见特征的调整后关联
purchase_time,multi_seller,首单包含多个卖家,0.9356,0.5493,1.5936,0.8064589292717181,未发现显著关联,75563,10448.88,首购时可见特征的调整后关联
purchase_time,installment_user,首单使用分期付款,0.9548,0.8334,1.0938,0.5045377253005473,未发现显著关联,75563,10448.88,首购时可见特征的调整后关联
first_order_experience,log2_payment_amount,首单支付金额翻倍,1.0138,0.9255,1.1106,0.7683169891705146,未发现显著关联,74820,10273.51,加入首单履约与评价体验后的调整后关联
first_order_experience,freight_share_10pp,运费占比增加 10 个百分点,1.0528,0.9702,1.1424,0.217442689154549,未发现显著关联,74820,10273.51,加入首单履约与评价体验后的调整后关联
first_order_experience,multi_item,首单包含多个商品,1.4099,1.1349,1.7515,0.0019154503276740105,正向关联,74820,10273.51,加入首单履约与评价体验后的调整后关联
first_order_experience,multi_seller,首单包含多个卖家,1.0327,0.6013,1.7736,0.9070685427966385,未发现显著关联,74820,10273.51,加入首单履约与评价体验后的调整后关联
first_order_experience,installment_user,首单使用分期付款,0.9598,0.8368,1.1008,0.5574786281686852,未发现显著关联,74820,10273.51,加入首单履约与评价体验后的调整后关联
first_order_experience,is_delayed,首单配送延迟,0.9127,0.689,1.209,0.5242125645725472,未发现显著关联,74820,10273.51,加入首单履约与评价体验后的调整后关联
first_order_experience,low_score,首单低评分（1–2 分）,0.7371,0.5835,0.9311,0.010515120806630926,负向关联,74820,10273.51,加入首单履约与评价体验后的调整后关联
