dimension,group,customer_count,repeat_customers_90d,repeat_rate_90d_pct,sample_share_pct
overall,all,75563,980,1.2969,100.0
delivery_status,delayed,6611,70,1.0588,8.749
delivery_status,on_time,68950,910,1.3198,91.2484
delivery_status,unknown,2,0,0.0,0.0026
review_group,high_4_5,58267,795,1.3644,77.1105
review_group,low_1_2,10116,100,0.9885,13.3875
review_group,missing,741,17,2.2942,0.9806
review_group,neutral_3,6439,68,1.0561,8.5214
payment_type,boleto,15348,194,1.264,20.3115
payment_type,credit_card,57034,734,1.287,75.4787
payment_type,debit_card,786,11,1.3995,1.0402
payment_type,unknown,1,0,0.0,0.0013
payment_type,voucher,2394,41,1.7126,3.1682
installment_flag,installment,39117,500,1.2782,51.7674
installment_flag,single_payment,36446,480,1.317,48.2326
order_value_quartile,Q1_low,18905,256,1.3541,25.0189
order_value_quartile,Q2,18877,235,1.2449,24.9818
order_value_quartile,Q3,18891,238,1.2599,25.0003
order_value_quartile,Q4_high,18890,251,1.3287,24.999
item_count_group,multi_item,7543,135,1.7897,9.9824
item_count_group,single_item,68020,845,1.2423,90.0176
seller_count_group,multi_seller,903,16,1.7719,1.195
seller_count_group,single_seller,74660,964,1.2912,98.805
category_group,automotivo,2806,33,1.1761,3.7135
category_group,bebes,2103,25,1.1888,2.7831
category_group,beleza_saude,6199,79,1.2744,8.2038
category_group,brinquedos,3233,39,1.2063,4.2785
category_group,cama_mesa_banho,7151,139,1.9438,9.4636
category_group,consoles_games,857,8,0.9335,1.1342
category_group,cool_stuff,3149,18,0.5716,4.1674
category_group,eletronicos,2043,16,0.7832,2.7037
category_group,esporte_lazer,6055,100,1.6515,8.0132
category_group,fashion_bolsas_e_acessorios,1440,36,2.5,1.9057
category_group,ferramentas_jardim,2926,34,1.162,3.8723
category_group,informatica_acessorios,5231,44,0.8411,6.9227
category_group,malas_acessorios,842,8,0.9501,1.1143
category_group,moveis_decoracao,4988,79,1.5838,6.6011
category_group,moveis_escritorio,1090,9,0.8257,1.4425
category_group,other,7283,103,1.4143,9.6383
category_group,papelaria,1746,14,0.8018,2.3107
category_group,perfumaria,2481,30,1.2092,3.2834
category_group,pet_shop,1194,18,1.5075,1.5801
category_group,relogios_presentes,4048,52,1.2846,5.3571
category_group,telefonia,3369,41,1.217,4.4585
category_group,unknown,1207,12,0.9942,1.5973
category_group,utilidades_domesticas,4122,43,1.0432,5.4551
